Title,Description,Assigned To,Start Date,Due Date (Europe/Rome),Project,Task Board,Task Group
[FB-001] Fix Min Operative Temperature for accessories,"Original feedback [FB-001]:
Check how ""Min Operative Temperature"" works - it's related to accessories's operating temperature, not the unit.

Investigate and correct Min Operative Temperature so it filters accessories by their operating temperature, not unit performance. Reference the Dry Cooler flow in `src/Modules/Selections/Manage/steps/InputParameter/Design/Air.tsx` (`input_data.air.min_operative_temperature`) and `src/Modules/Selections/Manage/steps/ModelDetail/Accessories/index.tsx` (passes `minAmbOpTemp` to `ExpandedTable`). For Remote condensers, add or relocate the equivalent design field (likely in `src/Modules/Selections/thermal/InputParameter/Design/Air.tsx` or Fluid), register it in `src/Modules/Selections/units/shared/unitTable/condenser/designData.ts`, map it in `src/Modules/Selections/units/shared/condenserPayload.ts`, and pass it into `src/Modules/Selections/thermal/ModelDetail/Accessories.tsx` / `src/Model/Selections/thermal/ModelDetail/accessoriesTable.tsx` and `src/Generic/hooks/useAccessoryEngine.tsx` so accessory enable/disable uses accessory operating limits.",Jhonnel Remolin,15/09/2026 9:00 AM,15/09/2026 10:03 AM,P016-05 - THERMOKEY TkDesk New features 2026 - Part 1,Feedback,To do
[FB-002] Admin-only atmospheric pressure from altitude,"Original feedback [FB-002]:
Atmospheric pressure should be visible only for Admin, and it should change from Altitude

In `src/Modules/Selections/thermal/InputParameter/Design/Air.tsx`, wrap `condenser.atmosphericPress` / `condenser.atmosphericPressType` with `useAuthorization().iAmAdmin` (mirror Dry Cooler admin gating in `src/Modules/Selections/Manage/steps/InputParameter/Design/Air.tsx`). Derive atmospheric pressure from `condenser.altitude` when altitude changes (reuse altitude→pressure logic from Dry Cooler payload or add conversion in `src/Modules/Selections/units/shared/condenserPayload.ts` and/or Cardano `ConvertUnitType`). Hide the field for non-admin users and ensure computed kPa is sent to the Cardano Computation API via `src/Api/Thermal/api/endpoints.ts`. Reference: FB-002.png.",Jhonnel Remolin,15/09/2026 10:03 AM,15/09/2026 11:22 AM,P016-05 - THERMOKEY TkDesk New features 2026 - Part 1,Feedback,To do
[FB-003] Tolerance field like Dry Cooler,"Original feedback [FB-003]:
Change the tolerance field so that it works like on Dry Coolers

Replace the single `FieldDecimalNumber` for `condenser.tolerance` in `src/Modules/Selections/thermal/InputParameter/Design/Performance.tsx` with `FieldMinMax` (min/max pair) matching `src/Modules/Selections/Manage/steps/InputParameter/Design/Performance.tsx` (`input_data.performance.tolerance`). Update form shape, `src/Modules/Selections/units/shared/condenserPayload.ts`, and `src/Model/Selections/Thermal.d.ts` if needed. Reference: FB-003.png, FB-003-2.png.",Jhonnel Remolin,15/09/2026 11:22 AM,15/09/2026 11:53 AM,P016-05 - THERMOKEY TkDesk New features 2026 - Part 1,Feedback,To do
[FB-004] Remove condenser model field,"Original feedback [FB-004]:
Remove ""condenser model""

Remove the `condenser.condenserModel` `FieldThermalSelect` from `src/Modules/Selections/thermal/InputParameter/Design/Performance.tsx`, drop related defaults/API preload (`CondenserModels` in `src/Api/Thermal/api/endpoints.ts` / `sagas.ts` if only used here), and clean payload mapping in `src/Modules/Selections/units/shared/condenserPayload.ts` and localization keys `data.thermal.field.condenser_model`. Reference: FB-004.png.",Jhonnel Remolin,15/09/2026 11:53 AM,15/09/2026 12:17 PM,P016-05 - THERMOKEY TkDesk New features 2026 - Part 1,Feedback,To do
[FB-005] Invert Air and Fluid card order,"Original feedback [FB-005]:
Invert the order of the Air Fluid cards

Swap render order of `<Air />` and `<Fluid />` in `src/Modules/Selections/thermal/InputParameter/Design/index.tsx` so Fluid appears before Air (or vice versa per customer screenshot). Adjust collapse keys/margins if needed for consistent layout. Reference: FB-005.png, FB-005-2.png.",Jhonnel Remolin,15/09/2026 12:17 PM,15/09/2026 12:25 PM,P016-05 - THERMOKEY TkDesk New features 2026 - Part 1,Feedback,To do
[FB-006] Sort refrigerants and remove dash,"Original feedback [FB-006]:
Refrigerants list: sort alphabetically and remove the '-' like R407C

In `src/Modules/Selections/thermal/InputParameter/Design/Fluid.tsx`, sort `refType` options from Cardano `RefTypes` API (`src/Api/Thermal/api/endpoints.ts`) alphabetically and display labels without hyphen (e.g. R407C instead of R-407C). Apply formatting in the select mapper or `FieldThermalSelect`; update default value if still `R-404A`. Reference: FB-006.png.",Jhonnel Remolin,15/09/2026 12:25 PM,15/09/2026 12:49 PM,P016-05 - THERMOKEY TkDesk New features 2026 - Part 1,Feedback,To do
[FB-007] Desuperheating vs inlet K/°C toggle,"Original feedback [FB-007]:
Desuperheating / Inlet .. problem with between the two. 25K is the default and it should calculate the °C , and disable K., and vice versa

Fix mutual exclusion in `src/Modules/Selections/thermal/InputParameter/Design/Fluid.tsx` for `condenser.compressorInletMode`: when Desuperheating (delta) is selected, default 25 K, compute equivalent °C from condensing temp, disable K unit selector; when Inlet Temperature is selected, disable K and allow °C/°F/Rankine only. Update `useUnitMeasureField` enabled/asDelta flags, unit lists in `src/Modules/Selections/units/shared/unitTable/condenser/designData.ts` (variable `compressor`), and normalization in `src/Modules/Selections/units/shared/condenserPayload.ts` (compressor delta vs absolute inlet). Reference: FB-007.png.",Jhonnel Remolin,15/09/2026 12:49 PM,15/09/2026 2:23 PM,P016-05 - THERMOKEY TkDesk New features 2026 - Part 1,Feedback,To do
[FB-008] Implement Rankine temperature unit,"Original feedback [FB-008]:
Implement Rankine that is the equivalent of Kelvin for Celsius

Add Rankine (°R) as absolute temperature unit equivalent to Kelvin for Celsius—register in `src/Modules/Selections/units/shared/unitsMeasureTable.ts`, expose via relevant `unitTable/condenser/*.ts` entries (design, rating, detail, working), and ensure `src/Modules/Selections/units/shared/conversion/unitConvertion.ts` and `variableUnitField.ts` convert correctly. Apply to temperature fields in Fluid/Air/Rating where K is offered.",Jhonnel Remolin,15/09/2026 2:23 PM,15/09/2026 3:42 PM,P016-05 - THERMOKEY TkDesk New features 2026 - Part 1,Feedback,To do
[FB-009] Implement Dew Points,"Original feedback [FB-009]:
Implement Dew Points - pending list from GLG

Implement dew-point saturation mode using `saturation_temp_modes.json` key `dew` in `src/Modules/Selections/thermal/InputParameter/Design/Fluid.tsx` (`condenser.saturationTitle`) and wire dew-point inputs/results once GLG provides the pending field list. Extend `condenserPayload.ts`, Cardano Computation request, and results display in `RemoteCondensers.tsx` / model-list columns as needed. Reference: FB-009.png.",Jhonnel Remolin,15/09/2026 3:42 PM,16/09/2026 9:48 AM,P016-05 - THERMOKEY TkDesk New features 2026 - Part 1,Feedback,To do
[FB-010] Sub cooling or outlet temperature mode,"Original feedback [FB-010]:
Implement the Sub Cooling or Outlet Temperature selection

Add a mode toggle for Sub Cooling vs Outlet Temperature on the Fluid card, mirroring Dry Cooler liquid mode in `src/Modules/Selections/Manage/steps/InputParameter/Design/Liquid.tsx` (`input_data.liquid.liquid_mode`). Implement in `src/Modules/Selections/thermal/InputParameter/Design/Fluid.tsx` with `condenser.subCoolingMode`, conditional fields, unit registry updates, and payload mapping in `condenserPayload.ts`. Reference: FB-010.png.",Jhonnel Remolin,16/09/2026 9:48 AM,16/09/2026 11:07 AM,P016-05 - THERMOKEY TkDesk New features 2026 - Part 1,Feedback,To do
